Tahun,Kabupaten,Luas_Panen_Ha
2015,Indramayu,220450
2015,Karawang,190200
2015,Subang,177547
2016,Indramayu,222300
2016,Karawang,188500
2016,Subang,178940
2017,Indramayu,225100
2017,Karawang,189000
2017,Subang,196757
2018,Indramayu,215000
2018,Karawang,185000
2018,Subang,188278
2019,Indramayu,215731
2019,Karawang,185807
2019,Subang,156298
2020,Indramayu,226626
2020,Karawang,187500
2020,Subang,169416
2021,Indramayu,227051
2021,Karawang,189200
2021,Subang,165400
2022,Indramayu,223400
2022,Karawang,186100
2022,Subang,162300
2023,Indramayu,218500
2023,Karawang,182400
2023,Subang,158500
2024,Indramayu,212000
2024,Karawang,178600
2024,Subang,155200
2025,Indramayu,212000
2025,Karawang,178600
2025,Subang,155200
